*Model	Length	63	125	250	500	1k	2k	4k	8k	Free Area (%)	Code	Series	Module Width
17E	1800	-5	-12	-25	-38	-40	-32	-21	-14	47	RT17E	Fantech RT series	
17F	2100	-5	-14	-28	-44	-44	-37	-24	-14	47	RT17F	Fantech RT series	
17G	2400	-6	-16	-33	-46	-50	-39	-26	-16	47	RT17G	Fantech RT series	
20A	600	-2	-3	-7	-10	-18	-10	-8	-6	50	RT20A	Fantech RT series	
20B	900	-2	-5	-11	-18	-20	-14	-9	-6	50	RT20B	Fantech RT series	
20C	1200	-3	-8	-15	-23	-28	-19	-12	-9	50	RT20C	Fantech RT series	
20D	1500	-4	-9	-18	-28	-33	-22	-13	-9	50	RT20D	Fantech RT series	
20E	1800	-4	-11	-23	-34	-38	-26	-16	-10	50	RT20E	Fantech RT series	
20F	2100	-5	-13	-27	-40	-44	-31	-16	-10	50	RT20F	Fantech RT series	
20G	2400	-5	-14	-29	-43	-48	-33	-19	-12	50	RT20G	Fantech RT series	
22A	600	-1	-3	-7	-9	-14	-9	-7	-5	53	RT22A	Fantech RT series	
22B	900	-2	-4	-10	-16	-18	-12	-8	-7	53	RT22B	Fantech RT series	
22C	1200	-3	-7	-13	-19	-25	-17	-10	-7	53	RT22C	Fantech RT series	
22D	1500	-3	-8	-16	-25	-29	-20	-10	-7	53	RT22D	Fantech RT series	
22E	1800	-4	-9	-21	-30	-34	-22	-11	-7	53	RT22E	Fantech RT series	
22F	2100	-4	-12	-25	-36	-40	-26	-14	-8	53	RT22F	Fantech RT series	
22G	2400	-5	-12	-27	-40	-42	-30	-16	-10	53	RT22G	Fantech RT series	
25A	600	-1	-2	-6	-8	-11	-8	-5	-5	56	RT25A	Fantech RT series	
25B	900	-1	-4	-9	-14	-16	-11	-6	-6	56	RT25B	Fantech RT series	
25C	1200	-2	-6	-12	-16	-22	-15	-8	-6	56	RT25C	Fantech RT series	
25D	1500	-3	-7	-15	-22	-26	-18	-9	-6	56	RT25D	Fantech RT series	
25E	1800	-3	-8	-19	-25	-30	-18	-9	-7	56	RT25E	Fantech RT series	
25F	2100	-4	-10	-23	-31	-36	-24	-11	-7	56	RT25F	Fantech RT series	
25G	2400	-4	-11	-25	-36	-38	-28	-13	-9	56	RT25G	Fantech RT series	
*Rectangular Straight													
07B	900	-6	-12	-23	-36	-45	-43	-36	-28	27	RS07B	Fantech RS series	
07C	1200	-8	-16	-30	-47	-50	-50	-47	-39	27	RS07C	Fantech RS series	
07D	1500	-9	-19	-35	-49	-50	-50	-49	-42	27	RS07D	Fantech RS series	
07E	1800	-10	-21	-41	-50	-50	-50	-50	-45	27	RS07E	Fantech RS series	
07F	2100	-12	-25	-45	-50	-50	-50	-50	-50	27	RS07F	Fantech RS series	
07G	2400	-13	-28	-48	-50	-50	-50	-50	-50	27	RS07G	Fantech RS series	
10B	900	-5	-10	-19	-31	-39	-35	-27	-21	33	RS10B	Fantech RS series	
10C	1200	-6	-13	-26	-41	-48	-46	-37	-26	33	RS10C	Fantech RS series	
10D	1500	-8	-16	-30	-47	-50	-50	-43	-31	33	RS10D	Fantech RS series	
10E	1800	-9	-18	-35	-49	-50	-50	-48	-36	33	RS10E	Fantech RS series	
10F	2100	-10	-20	-40	-50	-50	-50	-50	-37	33	RS10F	Fantech RS series	
10G	2400	-11	-23	-44	-50	-50	-50	-50	-39	33	RS10G	Fantech RS series	
12B	900	-4	-9	-17	-28	-35	-31	-22	-17	38	RS12B	Fantech RS series	
12C	1200	-5	-11	-22	-37	-43	-40	-30	-21	38	RS12C	Fantech RS series	
12D	1500	-6	-13	-26	-43	-47	-44	-34	-24	38	RS12D	Fantech RS series	
12E	1800	-7	-15	-31	-47	-50	-48	-40	-28	38	RS12E	Fantech RS series	
12F	2100	-8	-17	-35	-50	-50	-50	-43	-30	38	RS12F	Fantech RS series	
12G	2400	-9	-20	-39	-50	-50	-50	-45	-32	38	RS12G	Fantech RS series	
15B	900	-4	-8	-15	-25	-31	-28	-18	-13	43	RS15B	Fantech RS series	
15C	1200	-5	-9	-19	-33	-38	-34	-23	-16	43	RS15C	Fantech RS series	
15D	1500	-5	-11	-23	-39	-44	-39	-26	-18	43	RS15D	Fantech RS series	
15E	1800	-6	-13	-27	-45	-49	-46	-32	-21	43	RS15E	Fantech RS series	
15F	2100	-7	-15	-31	-49	-50	-50	-37	-24	43	RS15F	Fantech RS series	
15G	2400	-8	-18	-35	-50	-50	-50	-41	-26	43	RS15G	Fantech RS series	
*Rectangular Tapered Q-seal													
07A	600	-3	-5	-10	-18	-20	-18	-12	-9	27	RT07AQS	"Fantech RT series, with Q-seals"	
07B	900	-4	-7	-14	-25	-28	-25	-17	-13	27	RT07BQS	"Fantech RT series, with Q-seals"	
07C	1200	-5	-10	-20	-32	-38	-32	-22	-16	27	RT07CQS	"Fantech RT series, with Q-seals"	
07D	1500	-7	-13	-26	-40	-48	-38	-27	-20	27	RT07DQS	"Fantech RT series, with Q-seals"	
07E	1800	-7	-13	-26	-40	-48	-38	-27	-20	27	RT07EQS	"Fantech RT series, with Q-seals"	
07F	2100	-9	-19	-34	-46	-51	-44	-33	-25	27	RT07FQS	"Fantech RT series, with Q-seals"	
07G	2400	-10	-22	-38	-49	-52	-47	-35	-27	27	RT07GQS	"Fantech RT series, with Q-seals"	
10A	600	-3	-5	-9	-15	-17	-14	-10	-8	33	RT10AQS	"Fantech RT series, with Q-seals"	
10B	900	-4	-7	-13	-22	-24	-20	-14	-11	33	RT10BQS	"Fantech RT series, with Q-seals"	
10C	1200	-5	-9	-17	-28	-32	-25	-17	-13	33	RT10CQS	"Fantech RT series, with Q-seals"	
10D	1500	-6	-12	-21	-34	-40	-30	-21	-15	33	RT10DQS	"Fantech RT series, with Q-seals"	
10E	1800	-7	-15	-26	-39	-43	-35	-24	-17	33	RT10EQS	"Fantech RT series, with Q-seals"	
10F	2100	-8	-17	-29	-42	-46	-38	-26	-19	33	RT10FQS	"Fantech RT series, with Q-seals"	
10G	2400	-8	-19	-33	-46	-48	-42	-29	-20	33	RT10GQS	"Fantech RT series, with Q-seals"	
12A	600	-3	-4	-8	-14	-14	-12	-8	-7	38	RT12AQS	"Fantech RT series, with Q-seals"	
12B	900	-4	-6	-11	-20	-21	-17	-11	-10	38	RT12BQS	"Fantech RT series, with Q-seals"	
12C	1200	-4	-8	-15	-26	-28	-22	-15	-11	38	RT12CQS	"Fantech RT series, with Q-seals"	
12D	1500	-5	-10	-18	-32	-35	-27	-18	-12	38	RT12DQS	"Fantech RT series, with Q-seals"	
12E	1800	-6	-12	-22	-36	-39	-32	-21	-14	38	RT12EQS	"Fantech RT series, with Q-seals"	
12F	2100	-7	-13	-26	-40	-43	-35	-23	-16	38	RT12FQS	"Fantech RT series, with Q-seals"	
12G	2400	-8	-15	-29	-43	-46	-39	-25	-18	38	RT12GQS	"Fantech RT series, with Q-seals"	
15A	600	-2	-3	-7	-13	-13	-10	-7	-6	43	RT15AQS	"Fantech RT series, with Q-seals"	
15B	900	-3	-5	-10	-18	-19	-14	-10	-9	43	RT15BQS	"Fantech RT series, with Q-seals"	
15C	1200	-3	-6	-13	-24	-25	-19	-13	-10	43	RT15CQS	"Fantech RT series, with Q-seals"	
15D	1500	-3	-8	-17	-30	-31	-24	-16	-10	43	RT15DQS	"Fantech RT series, with Q-seals"	
15E	1800	-4	-10	-21	-34	-35	-28	-18	-12	43	RT15EQS	"Fantech RT series, with Q-seals"	
15F	2100	-5	-12	-24	-38	-39	-31	-19	-14	43	RT15FQS	"Fantech RT series, with Q-seals"	
15G	2400	-6	-13	-27	-41	-42	-34	-21	-16	43	RT15GQS	"Fantech RT series, with Q-seals"	
17A	600	-2	-3	-6	-11	-12	-9	-6	-5	47	RT17AQS	"Fantech RT series, with Q-seals"	
17B	900	-3	-4	-9	-16	-17	-12	-8	-7	47	RT17BQS	"Fantech RT series, with Q-seals"	
17C	1200	-3	-6	-12	-22	-22	-16	-10	-7	47	RT17CQS	"Fantech RT series, with Q-seals"	
17D	1500	-3	-7	-16	-27	-28	-20	-12	-8	47	RT17DQS	"Fantech RT series, with Q-seals"	
17E	1800	-3	-9	-19	-32	-33	-24	-14	-9	47	RT17EQS	"Fantech RT series, with Q-seals"	
17F	2100	-4	-10	-21	-35	-36	-26	-16	-10	47	RT17FQS	"Fantech RT series, with Q-seals"	
17G	2400	-4	-11	-24	-39	-40	-29	-18	-11	47	RT17GQS	"Fantech RT series, with Q-seals"	
20A	600	-1	-3	-6	-10	-10	-7	-5	-4	50	RT20AQS	"Fantech RT series, with Q-seals"	
20B	900	-2	-4	-9	-15	-15	-10	-7	-6	50	RT20BQS	"Fantech RT series, with Q-seals"	
20C	1200	-2	-5	-12	-20	-19	-14	-8	-6	50	RT20CQS	"Fantech RT series, with Q-seals"	
20D	1500	-2	-6	-15	-26	-23	-18	-8	-7	50	RT20DQS	"Fantech RT series, with Q-seals"	
20E	1800	-3	-8	-18	-30	-28	-21	-11	-8	50	RT20EQS	"Fantech RT series, with Q-seals"	
20F	2100	-3	-9	-20	-34	-32	-23	-13	-9	50	RT20FQS	"Fantech RT series, with Q-seals"	
20G	2400	-3	-10	-22	-37	-36	-25	-15	-10	50	RT20GQS	"Fantech RT series, with Q-seals"	
22A	600	-1	-2	-5	-9	-9	-6	-4	-4	53	RT22AQS	"Fantech RT series, with Q-seals"	
22B	900	-2	-3	-7	-13	-13	-8	-6	-5	53	RT22BQS	"Fantech RT series, with Q-seals"	
22C	1200	-2	-4	-10	-18	-17	-12	-7	-5	53	RT22CQS	"Fantech RT series, with Q-seals"	
22D	1500	-2	-5	-12	-23	-21	-15	-7	-5	53	RT22DQS	"Fantech RT series, with Q-seals"	
22E	1800	-2	-6	-15	-28	-26	-18	-9	-6	53	RT22EQS	"Fantech RT series, with Q-seals"	
22F	2100	-2	-7	-18	-31	-30	-20	-11	-7	53	RT22FQS	"Fantech RT series, with Q-seals"	
22G	2400	-3	-10	-22	-37	-36	-25	-15	-10	53	RT22GQS	"Fantech RT series, with Q-seals"	
25A	600	-1	-2	-5	-8	-8	-5	-3	-3	56	RT25AQS	"Fantech RT series, with Q-seals"	
25B	900	-1	-3	-7	-12	-11	-7	-5	-4	56	RT25BQS	"Fantech RT series, with Q-seals"	
25C	1200	-1	-4	-9	-16	-15	-10	-5	-4	56	RT25CQS	"Fantech RT series, with Q-seals"	
25D	1500	-1	-5	-11	-21	-18	-13	-6	-4	56	RT25DQS	"Fantech RT series, with Q-seals"	
25E	1800	-2	-5	-14	-26	-23	-16	-8	-5	56	RT25EQS	"Fantech RT series, with Q-seals"	
25F	2100	-2	-6	-16	-29	-27	-18	-9	-6	56	RT25FQS	"Fantech RT series, with Q-seals"	
25G	2400	-2	-7	-18	-33	-31	-20	-11	-7	56	RT25GQS	"Fantech RT series, with Q-seals"	
*Circular Open 1D													
-31	300	-1	-3	-5	-9	-13	-10	-8	-7		C1-031	Fantech Circular Open series	
-35	300	-2	-3	-5	-9	-13	-10	-8	-7		C1-035	Fantech Circular Open series	
-40	600	-2	-3	-5	-9	-13	-10	-8	-7		C1-040	Fantech Circular Open series	
-45	600	-2	-3	-5	-10	-13	-10	-8	-7		C1-045	Fantech Circular Open series	
-50	600	-2	-3	-6	-10	-14	-10	-8	-7		C1-050	Fantech Circular Open series	
-56	600	-2	-4	-6	-10	-14	-10	-8	-7		C1-056	Fantech Circular Open series	
-63	600	-3	-4	-7	-13	-14	-9	-8	-6		C1-063	Fantech Circular Open series	
-71	900	-3	-4	-8	-14	-14	-9	-7	-6		C1-071	Fantech Circular Open series	
-80	900	-3	-4	-8	-14	-13	-9	-7	-6		C1-080	Fantech Circular Open series	
-90	1150	-3	-4	-9	-14	-13	-8	-7	-6		C1-090	Fantech Circular Open series	
-100	1150	-3	-4	-9	-14	-12	-8	-7	-6		C1-100	Fantech Circular Open series	
-125	1150	-3	-4	-10	-14	-12	-8	-6	-6		C1-125	Fantech Circular Open series	
-140	1150	-3	-5	-10	-13	-11	-8	-5	-5		C1-140	Fantech Circular Open series	
-160	1800	-4	-6	-11	-13	-10	-7	-5	-5		C1-160	Fantech Circular Open series	
-180	1800	-4	-6	-11	-13	-10	-6	-5	-5		C1-180	Fantech Circular Open series	
-200	1800	-4	-6	-11	-13	-9	-6	-5	-5		C1-200	Fantech Circular Open series	
*Circular Open 2D													
-31	600	-3	-6	-9	-15	-21	-17	-14	-13		C2-031	Fantech Circular Open series	
-35	600	-4	-6	-10	-15	-21	-17	-14	-13		C2-035	Fantech Circular Open series	
-40	900	-4	-6	-10	-16	-21	-18	-15	-13		C2-040	Fantech Circular Open series	
-45	900	-4	-7	-10	-17	-21	-18	-15	-13		C2-045	Fantech Circular Open series	
-50	1150	-4	-7	-10	-18	-21	-17	-15	-12		C2-050	Fantech Circular Open series	
-56	1150	-5	-7	-11	-18	-21	-17	-15	-12		C2-056	Fantech Circular Open series	
-63	1150	-5	-8	-11	-21	-23	-17	-15	-10		C2-063	Fantech Circular Open series	
-71	1500	-5	-8	-12	-22	-23	-16	-15	-10		C2-071	Fantech Circular Open series	
-80	1500	-5	-8	-12	-22	-23	-16	-15	-10		C2-080	Fantech Circular Open series	
-90	1800	-5	-8	-13	-22	-19	-13	-12	-10		C2-090	Fantech Circular Open series	
-100	1800	-6	-8	-13	-22	-19	-13	-12	-10		C2-100	Fantech Circular Open series	
-125	2400	-6	-8	-13	-21	-18	-13	-12	-11		C2-125	Fantech Circular Open series	
-140	2400	-7	-9	-15	-21	-18	-11	-11	-11		C2-140	Fantech Circular Open series	
-160	3600	-8	-9	-15	-20	-17	-11	-9	-8		C2-160	Fantech Circular Open series	
-180	3600	-8	-9	-15	-20	-17	-10	-9	-8		C2-180	Fantech Circular Open series	
-200	3600	-8	-9	-15	-20	-17	-10	-9	-8		C2-200	Fantech Circular Open series	
*Circular Pod 1D Podded													
-31	300	-3	-6	-8	-13	-20	-19	-16	-14		C1P-031	Fantech Circular Podded series	
-35	300	-4	-6	-8	-13	-20	-19	-16	-14		C1P-035	Fantech Circular Podded series	
-40	600	-4	-6	-9	-14	-21	-19	-16	-13		C1P-040	Fantech Circular Podded series	
-45	600	-4	-6	-9	-15	-21	-19	-16	-13		C1P-045	Fantech Circular Podded series	
-50	600	-4	-6	-9	-15	-22	-19	-15	-12		C1P-050	Fantech Circular Podded series	
-56	600	-4	-6	-9	-15	-22	-19	-15	-12		C1P-056	Fantech Circular Podded series	
-63	600	-4	-6	-10	-18	-22	-19	-15	-11		C1P-063	Fantech Circular Podded series	
-71	900	-5	-6	-10	-18	-22	-19	-15	-11		C1P-071	Fantech Circular Podded series	
-80	900	-5	-6	-10	-18	-24	-17	-15	-11		C1P-080	Fantech Circular Podded series	
-90	1150	-5	-7	-11	-20	-20	-16	-13	-11		C1P-090	Fantech Circular Podded series	
-100	1150	-5	-7	-12	-20	-19	-14	-13	-10		C1P-100	Fantech Circular Podded series	
-125	1150	-5	-7	-12	-20	-19	-14	-13	-10		C1P-125	Fantech Circular Podded series	
-140	1150	-5	-7	-12	-19	-18	-14	-12	-9		C1P-140	Fantech Circular Podded series	
-160	1800	-5	-7	-12	-18	-17	-12	-10	-9		C1P-160	Fantech Circular Podded series	
-180	1800	-5	-7	-12	-18	-17	-12	-10	-9		C1P-180	Fantech Circular Podded series	
-200	1800	-5	-7	-12	-18	-17	-12	-10	-9		C1P-200	Fantech Circular Podded series	
*Circular Pod 2D Podded													
-31	600	-6	-9	-14	-21	-28	-28	-25	-22		C2P-031	Fantech Circular Podded series	
-35	600	-6	-9	-14	-21	-28	-28	-25	-22		C2P-035	Fantech Circular Podded series	
-40	900	-6	-9	-14	-22	-29	-28	-26	-23		C2P-040	Fantech Circular Podded series	
-45	900	-6	-9	-14	-22	-29	-28	-26	-23		C2P-045	Fantech Circular Podded series	
-50	1150	-7	-10	-14	-24	-30	-29	-27	-22		C2P-050	Fantech Circular Podded series	
-56	1150	-7	-10	-14	-24	-30	-29	-27	-22		C2P-056	Fantech Circular Podded series	
-63	1150	-7	-11	-16	-28	-33	-32	-29	-20		C2P-063	Fantech Circular Podded series	
-71	1500	-8	-11	-16	-28	-34	-31	-28	-20		C2P-071	Fantech Circular Podded series	
-80	1500	-8	-11	-16	-28	-34	-31	-28	-20		C2P-080	Fantech Circular Podded series	
-90	1800	-8	-11	-18	-27	-28	-27	-23	-19		C2P-090	Fantech Circular Podded series	
-100	1800	-8	-11	-19	-27	-29	-27	-23	-19		C2P-100	Fantech Circular Podded series	
-125	2400	-8	-11	-19	-27	-28	-27	-22	-17		C2P-125	Fantech Circular Podded series	
-140	2400	-9	-12	-20	-26	-28	-26	-19	-16		C2P-140	Fantech Circular Podded series	
-160	3600	-10	-14	-21	-26	-28	-26	-18	-15		C2P-160	Fantech Circular Podded series	
-180	3600	-10	-14	-21	-26	-28	-26	-18	-15		C2P-180	Fantech Circular Podded series	
-200	3600	-10	-14	-21	-26	-28	-26	-18	-15		C2P-200	Fantech Circular Podded series	
*Circular Open 1D Qseal													
-031QS	300	-1	-2	-4	-7	-9	-7	-5	-5		C1-031QS	Fantech Circular Open series with Q-seal	
-035QS	300	-2	-2	-4	-7	-9	-7	-5	-5		C1-035QS	Fantech Circular Open series with Q-seal	
-040QS	600	-2	-2	-4	-7	-9	-7	-5	-5		C1-040QS	Fantech Circular Open series with Q-seal	
-045QS	600	-2	-2	-4	-8	-9	-7	-5	-5		C1-045QS	Fantech Circular Open series with Q-seal	
-050QS	600	-2	-2	-4	-8	-9	-7	-5	-5		C1-050QS	Fantech Circular Open series with Q-seal	
-056QS	600	-2	-3	-4	-8	-9	-7	-5	-5		C1-056QS	Fantech Circular Open series with Q-seal	
-063QS	600	-3	-3	-5	-10	-9	-6	-5	-5		C1-063QS	Fantech Circular Open series with Q-seal	
-071QS	900	-3	-3	-6	-11	-9	-6	-5	-5		C1-071QS	Fantech Circular Open series with Q-seal	
-080QS	900	-3	-3	-6	-11	-9	-6	-5	-5		C1-080QS	Fantech Circular Open series with Q-seal	
-090QS	1150	-3	-3	-7	-11	-9	-5	-5	-5		C1-090QS	Fantech Circular Open series with Q-seal	
-100QS	1150	-3	-3	-7	-11	-8	-5	-5	-4		C1-100QS	Fantech Circular Open series with Q-seal	
-125QS	1150	-3	-3	-7	-11	-8	-5	-4	-4		C1-125QS	Fantech Circular Open series with Q-seal	
-140QS	1150	-3	-4	-7	-10	-7	-5	-4	-4		C1-140QS	Fantech Circular Open series with Q-seal	
-153QS	1500	-4	-4	-8	-10	-7	-5	-4	-4		C1-153QS	Fantech Circular Open series with Q-seal	
-160QS	1800	-4	-4	-8	-10	-7	-5	-4	-4		C1-160QS	Fantech Circular Open series with Q-seal	
-180QS	1800	-4	-4	-8	-10	-7	-4	-4	-3		C1-180QS	Fantech Circular Open series with Q-seal	
-200QS	1800	-4	-4	-8	-10	-6	-4	-4	-3		C1-200QS	Fantech Circular Open series with Q-seal	
*Circular Open 2D QsealQS													
-031QS	600	-3	-5	-7	-13	-18	-13	-10	-9		C2-031QS	Fantech Circular Open series with Q-seal	
-035QS	600	-3	-5	-8	-13	-18	-13	-10	-9		C2-035QS	Fantech Circular Open series with Q-seal	
-040QS	900	-3	-5	-8	-13	-18	-14	-11	-9		C2-040QS	Fantech Circular Open series with Q-seal	
-045QS	900	-3	-5	-8	-14	-18	-14	-11	-9		C2-045QS	Fantech Circular Open series with Q-seal	
-050QS	1150	-3	-5	-8	-15	-18	-13	-11	-8		C2-050QS	Fantech Circular Open series with Q-seal	
-056QS	1150	-4	-5	-9	-15	-18	-13	-11	-8		C2-056QS	Fantech Circular Open series with Q-seal	
-063QS	1150	-4	-6	-9	-18	-19	-13	-11	-7		C2-063QS	Fantech Circular Open series with Q-seal	
-071QS	1500	-4	-6	-10	-18	-19	-13	-11	-7		C2-071QS	Fantech Circular Open series with Q-seal	
-080QS	1500	-4	-6	-10	-18	-19	-13	-11	-7		C2-080QS	Fantech Circular Open series with Q-seal	
-090QS	1800	-4	-6	-11	-18	-16	-10	-9	-7		C2-090QS	Fantech Circular Open series with Q-seal	
-100QS	1800	-5	-6	-11	-18	-16	-10	-9	-7		C2-100QS	Fantech Circular Open series with Q-seal	
-125QS	2400	-5	-6	-11	-18	-15	-10	-9	-8		C2-125QS	Fantech Circular Open series with Q-seal	
-140QS	2400	-6	-7	-12	-18	-15	-9	-8	-7		C2-140QS	Fantech Circular Open series with Q-seal	
-153QS	3000	-7	-7	-12	-17	-14	-9	-6	-6		C2-153QS	Fantech Circular Open series with Q-seal	
-160QS	3600	-7	-7	-12	-17	-14	-9	-6	-6		C2-160QS	Fantech Circular Open series with Q-seal	
-180QS	3600	-7	-7	-12	-17	-14	-8	-6	-6		C2-180QS	Fantech Circular Open series with Q-seal	
-200QS	3600	-7	-7	-12	-17	-14	-8	-6	-6		C2-200QS	Fantech Circular Open series with Q-seal	
*Circular Pod 1D QsealQS													
-031QS	300	-3	-5	-7	-11	-17	-15	-11	-10		C1P-031QS	Fantech Circular Podded series with Q-seal	
-035QS	300	-3	-5	-7	-11	-17	-15	-11	-10		C1P-035QS	Fantech Circular Podded series with Q-seal	
-040QS	600	-3	-5	-7	-12	-18	-15	-11	-9		C1P-040QS	Fantech Circular Podded series with Q-seal	
-045QS	600	-3	-5	-7	-13	-18	-15	-11	-9		C1P-045QS	Fantech Circular Podded series with Q-seal	
-050QS	600	-3	-5	-7	-13	-18	-15	-11	-8		C1P-050QS	Fantech Circular Podded series with Q-seal	
-056QS	600	-3	-5	-7	-13	-18	-15	-11	-8		C1P-056QS	Fantech Circular Podded series with Q-seal	
-063QS	600	-3	-5	-8	-15	-18	-15	-11	-8		C1P-063QS	Fantech Circular Podded series with Q-seal	
-071QS	900	-4	-5	-8	-15	-18	-15	-11	-8		C1P-071QS	Fantech Circular Podded series with Q-seal	
-080QS	900	-4	-5	-8	-15	-20	-13	-11	-8		C1P-080QS	Fantech Circular Podded series with Q-seal	
-090QS	1150	-4	-5	-9	-17	-17	-13	-9	-8		C1P-090QS	Fantech Circular Podded series with Q-seal	
-100QS	1150	-4	-5	-10	-17	-16	-11	-9	-7		C1P-100QS	Fantech Circular Podded series with Q-seal	
-125QS	1150	-4	-5	-10	-17	-16	-11	-9	-7		C1P-125QS	Fantech Circular Podded series with Q-seal	
-140QS	1150	-4	-5	-10	-16	-15	-11	-9	-6		C1P-140QS	Fantech Circular Podded series with Q-seal	
-153QS	1500	-4	-5	-10	-15	-14	-10	-7	-6		C1P-153QS	Fantech Circular Podded series with Q-seal	
-160QS	1800	-4	-5	-10	-15	-14	-10	-7	-6		C1P-160QS	Fantech Circular Podded series with Q-seal	
-180QS	1800	-4	-5	-10	-15	-14	-10	-7	-6		C1P-180QS	Fantech Circular Podded series with Q-seal	
-200QS	1800	-4	-5	-10	-15	-14	-10	-7	-6		C1P-200QS	Fantech Circular Podded series with Q-seal	
*Circular Pod 2D QsealQS													
-031QS	600	-5	-7	-11	-19	-25	-23	-17	-15		C2P-031QS	Fantech Circular Podded series with Q-seal	
-035QS	600	-5	-7	-11	-19	-25	-23	-17	-15		C2P-035QS	Fantech Circular Podded series with Q-seal	
-040QS	900	-5	-7	-11	-19	-26	-23	-18	-16		C2P-040QS	Fantech Circular Podded series with Q-seal	
-045QS	900	-5	-7	-11	-19	-26	-23	-18	-16		C2P-045QS	Fantech Circular Podded series with Q-seal	
-050QS	1150	-6	-8	-11	-21	-27	-24	-19	-15		C2P-050QS	Fantech Circular Podded series with Q-seal	
-056QS	1150	-6	-8	-11	-21	-27	-24	-19	-15		C2P-056QS	Fantech Circular Podded series with Q-seal	
-063QS	1150	-6	-9	-13	-25	-29	-26	-20	-14		C2P-063QS	Fantech Circular Podded series with Q-seal	
-071QS	1500	-7	-9	-13	-25	-30	-26	-19	-14		C2P-071QS	Fantech Circular Podded series with Q-seal	
-080QS	1500	-7	-9	-13	-25	-30	-26	-19	-14		C2P-080QS	Fantech Circular Podded series with Q-seal	
-090QS	1800	-7	-9	-14	-24	-25	-22	-16	-13		C2P-090QS	Fantech Circular Podded series with Q-seal	
-100QS	1800	-7	-9	-15	-24	-26	-22	-16	-13		C2P-100QS	Fantech Circular Podded series with Q-seal	
-125QS	2400	-7	-9	-15	-24	-25	-22	-15	-12		C2P-125QS	Fantech Circular Podded series with Q-seal	
-140QS	2400	-8	-10	-16	-23	-25	-21	-13	-11		C2P-140QS	Fantech Circular Podded series with Q-seal	
-153QS	3000	-8	-11	-17	-23	-25	-21	-13	-11		C2P-153QS	Fantech Circular Podded series with Q-seal	
-160QS	3600	-8	-11	-17	-23	-25	-21	-13	-11		C2P-160QS	Fantech Circular Podded series with Q-seal	
-180QS	3600	-8	-11	-17	-23	-25	-21	-13	-11		C2P-180QS	Fantech Circular Podded series with Q-seal	
